"date","noNaAndWg"
2023-02-07 09:24:02,5118
2023-02-07 06:28:33,5106
2023-02-07 03:25:20,5093
2023-02-07 01:33:15,5080
2023-02-06 21:21:05,5065
2023-02-06 18:29:31,5053
2023-02-06 15:28:46,5042
2023-02-06 12:48:43,5033
2023-02-06 06:29:52,5024
2023-02-06 03:23:54,5011
2023-02-06 01:30:35,5000
2023-02-05 21:19:00,4990
2023-02-05 18:26:08,4971
2023-02-05 15:22:12,4957
2023-02-05 12:36:29,4944
2023-02-05 09:20:46,4934
2023-02-05 06:27:45,4920
2023-02-05 03:26:17,4914
2023-02-05 01:44:35,4900
2023-02-04 18:26:57,4884
2023-02-04 15:22:54,4875
2023-02-04 12:35:23,4855
2023-02-04 09:22:07,4840
2023-02-04 06:25:51,4827
2023-02-04 03:24:15,4820
2023-02-04 01:30:11,4811
2023-02-03 21:19:56,4800
2023-02-03 18:26:44,4793
2023-02-03 15:24:26,4783
2023-02-03 12:40:32,4773
2023-02-03 09:24:00,4758
2023-02-03 07:11:04,4747
2023-02-02 22:23:06,4741
2023-02-02 21:18:59,4725
2023-02-02 18:26:59,4708
2023-02-02 15:23:38,4692
2023-02-02 12:41:12,4680
2023-02-02 09:23:31,4667
2023-02-02 06:26:59,4651
2023-02-02 03:24:18,4637
2023-02-02 01:40:41,4620
2023-02-01 21:20:51,4606
2023-02-01 18:27:24,4592
2023-02-01 15:24:08,4581
2023-02-01 12:41:50,4569
2023-02-01 09:23:58,4558
2023-02-01 06:27:42,4546
2023-02-01 03:32:10,4532
2023-02-01 01:49:40,4523
2023-01-31 21:21:54,4509
2023-01-31 18:29:00,4496
2023-01-31 15:23:13,4484
2023-01-31 12:38:54,4469
2023-01-31 09:23:27,4458
2023-01-31 06:29:41,4440
2023-01-31 03:24:37,4422
2023-01-31 01:43:23,4408
2023-01-30 21:20:17,4400
2023-01-30 18:26:34,4391
2023-01-30 15:23:11,4371
2023-01-30 12:39:59,4356
2023-01-30 09:22:55,4348
2023-01-30 06:27:16,4332
2023-01-30 03:24:29,4321
2023-01-30 01:27:41,4307
2023-01-29 21:19:00,4293
2023-01-29 18:24:23,4279
2023-01-29 00:00:00,4259
2023-01-29 00:00:00,4242
